id,comment,User  id,Photo id,created Timestamp,posted date,emoji used,Hashtags used count,
1,hence the pain with drugs,2,1,13-04-2023 08:04,Apr-14,yes,1,
2,which we lead,3,1,13-04-2023 08:04,Apr-14,no,2,
3,at other times from pleasures,5,1,13-04-2023 08:04,Apr-14,no,4,
4,they have to do it,14,1,13-04-2023 08:04,Apr-14,yes,2,
5,he seeks to choose the whole,17,1,13-04-2023 08:04,Apr-14,yes,1,
6,of life because some,21,1,13-04-2023 08:04,Apr-14,no,2,
7,the training was not blinded,24,1,13-04-2023 08:04,Apr-14,yes,0,
8,let them flee,31,1,13-04-2023 08:04,Apr-14,no,5,
9,they don't know or don't know,36,1,13-04-2023 08:04,Apr-14,no,6,
10,praisers like ours,41,1,13-04-2023 08:04,Apr-14,yes,2,
11,all or rougher,52,1,13-04-2023 08:04,Apr-14,yes,1,
12,and troubles him with drugs,54,1,13-04-2023 08:04,Apr-14,no,3,
13,otherwise it should not be born,55,1,13-04-2023 08:04,Apr-14,yes,1,
14,I'm going to get it right,57,1,13-04-2023 08:04,Apr-14,no,2,
15,for when he repels through drugs,62,1,13-04-2023 08:04,Apr-14,no,4,
16,they do not provide pain,63,1,13-04-2023 08:04,Apr-14,yes,2,
17,prevents them from achieving,66,1,13-04-2023 08:04,Apr-14,yes,1,
18,pleasure no one flatters,71,1,13-04-2023 08:04,Apr-14,no,2,
19,it runs away from pains drugs,72,1,13-04-2023 08:04,Apr-14,yes,0,
20,the training is held in the dark,75,1,13-04-2023 08:04,Apr-14,no,5,
21,as if they forsook pleasures,76,1,13-04-2023 08:04,Apr-14,no,6,
22,He will criticize them,78,1,13-04-2023 08:04,Apr-14,yes,2,
23,does not prevent that,87,1,13-04-2023 08:04,Apr-14,yes,1,
24,let it be pleasures,91,1,13-04-2023 08:04,Apr-14,no,3,
25,pleasure is held fast,98,1,13-04-2023 08:04,Apr-14,yes,1,
26,in truth because,3,2,13-04-2023 08:04,Apr-14,no,2,
27,Who made it easy?,5,2,13-04-2023 08:04,Apr-14,no,4,
28,"because it is, let it be",14,2,13-04-2023 08:04,Apr-14,yes,2,
29,We accuse pleasure and pain,15,2,13-04-2023 08:04,Apr-14,yes,1,
30,will be followed by the finder,18,2,13-04-2023 08:04,Apr-14,no,2,
31,they are to blame for the pain,19,2,13-04-2023 08:04,Apr-14,yes,0,
32,all all none,21,2,13-04-2023 08:04,Apr-14,no,5,
33,any in the easy,24,2,13-04-2023 08:04,Apr-14,no,6,
34,we may be blinded as a result,28,2,13-04-2023 08:04,Apr-14,yes,2,
35,pleasure called or,30,2,13-04-2023 08:04,Apr-14,yes,1,
36,I will explain who he is,31,2,13-04-2023 08:04,Apr-14,no,3,
37,who is spared pain,35,2,13-04-2023 08:04,Apr-14,yes,1,
38,on account of the debts of the labors,36,2,13-04-2023 08:04,Apr-14,no,2,
39,we deserve it with pleasure,41,2,13-04-2023 08:04,Apr-14,no,4,
40,in the time that we can,42,2,13-04-2023 08:04,Apr-14,yes,2,
41,body as needs,43,2,13-04-2023 08:04,Apr-14,yes,1,
42,fault either or,47,2,13-04-2023 08:04,Apr-14,no,2,
43,because and,48,2,13-04-2023 08:04,Apr-14,yes,0,
44,and he wants them,54,2,13-04-2023 08:04,Apr-14,no,5,
45,He does not hate things,57,2,13-04-2023 08:04,Apr-14,no,6,
46,we accuse ourselves that,60,2,13-04-2023 08:04,Apr-14,yes,2,
47,to refuse the blessed sayings,65,2,13-04-2023 08:04,Apr-14,yes,1,
48,fault from,66,2,13-04-2023 08:04,Apr-14,no,3,
49,who wants some,71,2,13-04-2023 08:04,Apr-14,yes,1,
50,it is darkened by time,75,2,13-04-2023 08:04,Apr-14,no,2,
51,or them and,76,2,13-04-2023 08:04,Apr-14,no,4,
52,as he fled in time,82,2,13-04-2023 08:04,Apr-14,yes,2,
53,or other pain,85,2,13-04-2023 08:04,Apr-14,yes,1,
54,as in that drugs,87,2,13-04-2023 08:04,Apr-14,no,2,
55,said all of us,91,2,13-04-2023 08:04,Apr-14,yes,0,
56,in often,95,2,13-04-2023 08:04,Apr-14,no,5,
57,needs itself and,5,3,13-04-2023 08:04,Apr-14,no,6,
58,for not rejecting,14,3,13-04-2023 08:04,Apr-14,yes,2,
59,a great way because,15,3,13-04-2023 08:04,Apr-14,yes,1,
60,born in the times of the architect,21,3,13-04-2023 08:04,Apr-14,no,3,
61,no trouble whatsoever,24,3,13-04-2023 08:04,Apr-14,yes,1,
62,get or say,27,3,13-04-2023 08:04,Apr-14,no,2,
63,because pains are pleasures,35,3,13-04-2023 08:04,Apr-14,no,4,
